offer_id,offer_category,merchant_name,offer_longdesc,crayon_id,offer_shortdesc,offer_start_date,offer_end_date,offer_tnc,offer_img_urls,offer_behave_category,offer_locations,merchant_phone,merchant_website,offer_source,offer_country,offer_city
3000,dining,Marche Movenpick Singapore,S$10 return voucher with a min. spend of S$80,301208413,S$10 return voucher,1/2/2017,31/03/2017,"Valid till 31 March 2017 'Voucher terms and conditions apply 'Payment must be made with an OCBC Credit/Debit Card 'Offer is applicable to the billed amount excluding prevailing GST and service charges 'Not valid with other discounts, vouchers, promotions, privileges, membership/loyalty programs, unless otherwise stated 'Discount, vouchers and privileges are not exchangeable for cash, kind or other goods and services 'OCBC shall not be responsible for the quality, merchantability or fitness for any aspect of the offers. Notwithstanding anything herein, OCBC shall not at any time be responsible or held liable for any defect or malfunction in any offer, and/or for any loss, injury, damage or harm suffered or incurred by or in connection with the use of any offer by any person ""OCBC's decision on all matters relating to privileges or terms and conditions will be final and binding on all participants",rest_sing_ocbc1.jpg,Western,Open http://www.marche-restaurants.com/en/locations-restaurants for full outlets listing.,,,OCBC Promo,Singapore,Singapore
3001,dining,Nara Thai,10% off with a min. spend of S$85,303990420,10% off,1/2/2017,31/03/2017,"Valid till 31 March 2017 'Payment must be made with an OCBC Credit/Debit Card 'Offers are not valid in conjunction with other discounts, vouchers, promotions, privileges, membership/loyalty programs, unless otherwise stated 'Discount, vouchers and privileges are not exchangeable for cash, kind or other goods and services 'Offers are applicable to the billed amount excluding prevailing GST and service charges ""Merchant's terms and conditions apply. Please contact merchant directly for full details."", OCBC shall not be responsible for the quality, merchantability or fitness for any aspect of the offer. Notwithstanding anything herein, OCBC shall not at any time be responsible or held liable for any defect or malfunction in any offer, and/or for any loss, injury, damage or harm suffered or incurred by or in connection with the use of any offer by any person ""OCBC's decision on all matters relating to privileges or terms and conditions will be final and binding on all participants",rest_sing_ocbc2.jpg,Asian,ION Orchard #B3-21 Westgate #03-07,,,OCBC Promo,Singapore,Singapore
3002,dining,"Shangri-La Hotel Singapore, Nadaman",10% off total bill,302536888,10% off,1/2/2017,31/03/2017,"Valid till 31 March 2017, from Monday to Friday only ""Not valid on eve of and on public holidays, and special occasions such as Mother's Day etc."", Not valid in conjunction with other promotions, vouchers and/or discounts, unless otherwise stated 'Payment must be made with an OCBC Credit/Debit Card 'Offer is applicable to the billed amount excluding prevailing service charge and GST 'Offer is not exchangeable for cash, kind or other goods and services 'OCBC shall not be responsible for the quality, merchantability or fitness for any aspect of the offers. Notwithstanding anything herein, OCBC shall not at any time be responsible or held liable for any defect or malfunction in any offer, and/or for any loss, injury, damage or harm suffered or incurred by or in connection with the use of any offer by any person ""OCBC's decision on all matters relating to privileges or terms and conditions will be final and binding on all participants",rest_sing_ocbc3.jpg,Japanese,22 Orange Grove Road,6213 4571 / 4398,,OCBC Promo,Singapore,Singapore
3003,dining,"Shangri-La Hotel Singapore, Shang Palace",10% off total bill,301009741,10% off,1/2/2017,31/03/2017,"Valid till 31 March 2017, from Monday to Friday only ""Not valid on eve of and on public holidays, and special occasions such as Mother's Day etc."", Not valid in conjunction with other promotions, vouchers and/or discounts, unless otherwise stated 'Payment must be made with an OCBC Credit/Debit Card 'Offer is applicable to the billed amount excluding prevailing service charge and GST 'Offer is not exchangeable for cash, kind or other goods and services 'OCBC shall not be responsible for the quality, merchantability or fitness for any aspect of the offers. Notwithstanding anything herein, OCBC shall not at any time be responsible or held liable for any defect or malfunction in any offer, and/or for any loss, injury, damage or harm suffered or incurred by or in connection with the use of any offer by any person ""OCBC's decision on all matters relating to privileges or terms and conditions will be final and binding on all participants",rest_sing_ocbc4.jpg,Chinese,22 Orange Grove Road,6213 4473 / 4398,,OCBC Promo,Singapore,Singapore
3004,dining,"Shangri-La Hotel Singapore, The Line",10% off total bill,300536343,10% off,1/2/2017,31/03/2017,"Valid till 31 March 2017, from Monday to Friday only ""Not valid on eve of and on public holidays, and special occasions such as Mother's Day etc."", Not valid in conjunction with other promotions, vouchers and/or discounts, unless otherwise stated 'Payment must be made with an OCBC Credit/Debit Card 'Offer is applicable to the billed amount excluding prevailing service charge and GST 'Offer is not exchangeable for cash, kind or other goods and services 'OCBC shall not be responsible for the quality, merchantability or fitness for any aspect of the offers. Notwithstanding anything herein, OCBC shall not at any time be responsible or held liable for any defect or malfunction in any offer, and/or for any loss, injury, damage or harm suffered or incurred by or in connection with the use of any offer by any person ""OCBC's decision on all matters relating to privileges or terms and conditions will be final and binding on all participants",rest_sing_ocbc5.jpg,International,22 Orange Grove Road,6213 4275 / 4398,,OCBC Promo,Singapore,Singapore
3005,dining,"Shangri-La Hotel Singapore, The Rose Veranda",10% off total bill,301428865,10% off,1/2/2017,31/03/2017,"Valid till 31 March 2017, from Monday to Friday only ""Not valid on eve of and on public holidays, and special occasions such as Mother's Day etc."", Not valid in conjunction with other promotions, vouchers and/or discounts, unless otherwise stated 'Payment must be made with an OCBC Credit/Debit Card 'Offer is applicable to the billed amount excluding prevailing service charge and GST 'Offer is not exchangeable for cash, kind or other goods and services 'OCBC shall not be responsible for the quality, merchantability or fitness for any aspect of the offers. Notwithstanding anything herein, OCBC shall not at any time be responsible or held liable for any defect or malfunction in any offer, and/or for any loss, injury, damage or harm suffered or incurred by or in connection with the use of any offer by any person ""OCBC's decision on all matters relating to privileges or terms and conditions will be final and binding on all participants",rest_sing_ocbc6.jpg,International,22 Orange Grove Road,6213 4486 / 4398,,OCBC Promo,Singapore,Singapore
3006,dining,"Shangri-La Hotel Singapore, The Waterfall",10% off total bill,300078597,10% off,1/2/2017,31/03/2017,"Valid till 31 March 2017, from Monday to Friday only ""Not valid on eve of and on public holidays, and special occasions such as Mother's Day etc."", Not valid in conjunction with other promotions, vouchers and/or discounts, unless otherwise stated 'Payment must be made with an OCBC Credit/Debit Card 'Offer is applicable to the billed amount excluding prevailing service charge and GST 'Offer is not exchangeable for cash, kind or other goods and services 'OCBC shall not be responsible for the quality, merchantability or fitness for any aspect of the offers. Notwithstanding anything herein, OCBC shall not at any time be responsible or held liable for any defect or malfunction in any offer, and/or for any loss, injury, damage or harm suffered or incurred by or in connection with the use of any offer by any person ""OCBC's decision on all matters relating to privileges or terms and conditions will be final and binding on all participants",rest_sing_ocbc7.jpg,Western,22 Orange Grove Road,6213 4138/ 4398,,OCBC Promo,Singapore,Singapore
3007,dining,Gyu-Kaku,S$10 return voucher with any amount spent,304015793,S$10 return voucher,1/2/2017,30/04/2017,"Offer is valid daily, from 1 May 2016 to 30 April 2017 'Valid at all Gyu-Kaku Singapore outlets 'S$10 return voucher will be issued with any amount spent 'Voucher is valid for redemption within 2 months from the date of issue ""Voucher is valid for redemption daily, except on eve of and public holidays and special occasions (e.g. Valentine's Day, Mother's Day, Father's Day, etc)."", Voucher is valid for redemption with a minimum spend of S$80, excluding service charge and prevailing GST 'Payment must be made with an OCBC Credit/Debit Card 'Valid for dine-in only 'Limited to one voucher redemption per table, per visit. Original voucher must be presented for redemption 'No splitting of bills allowed 'Misplaced or stolen vouchers will not be replaced 'Voucher is not exchangeable for cash, kind or other goods and services 'Not valid in conjunction with other discounts, membership privileges, promotions, vouchers or Gyu-Kaku Gift Vouchers ""Merchant's terms and conditions apply. Please contact the merchant directly for full details."", OCBC shall not be responsible for the quality, merchantability or fitness for any aspect of the offer. Notwithstanding anything herein, OCBC shall not at any time be responsible or held liable for any defect or malfunction in any offer, and/or for any loss, injury, damage or harm suffered or incurred by or in connection with the use of any offer by any person ""OCBC's decision on all matters relating to privileges or terms and conditions will be final and binding on all participants",rest_sing_ocbc8.jpg,Japanese,Open http://www.gyu-kaku.com.sg for full outlets listing.,,,OCBC Promo,Singapore,Singapore
3008,dining,"Swissotel The Stamford, City Space",15% off beverage bill,300419836,15% off,1/2/2017,31/05/2017,"Offer is valid from 1 June 2016 to 31 May 2017, except on eve of and public holidays and special occasions (e.g. Valentine's Day, etc)."", Valid at Swissotel The Stamford. Visit www.swissotel.com/hotels/singapore-stamford for full address 'Payment must be made with an OCBC Credit/Debit Card 'Valid for dine-in only 'Discount is applicable to the billed amount, excluding service charge and prevailing GST 'Not valid in conjunction with other discounts, membership privileges, promotions or vouchers ""Merchant's terms and conditions apply. Please contact the merchant directly for full details."", OCBC shall not be responsible for the quality, merchantability or fitness for any aspect of the offer. Notwithstanding anything herein, OCBC shall not at any time be responsible or held liable for any defect or malfunction in any offer, and/or for any loss, injury, damage or harm suffered or incurred by or in connection with the use of any offer by any person ""OCBC's decision on all matters relating to privileges or terms and conditions will be final and binding on all participants",rest_sing_ocbc9.jpg,Wine,,,,OCBC Promo,Singapore,Singapore
3009,dining,"Swissotel The Stamford, JAAN","Exclusively for OCBC Voyage, OCBC Premier Voyage and Bank of Singapore Voyage Cardmembers 15% discount on 7 course set for lunch, inclusive of a glass of wine and water 15% discount on 10 course set for dinner, inclusive of a glass of wine and water",301027504,15% off,1/2/2017,31/05/2017,"Offer is valid from 1 June 2016 to 31 May 2017, except on eve of and public holidays and special occasions (e.g. Valentine's Day, etc)."", Valid at Swissotel The Stamford. Visit www.swissotel.com/hotels/singapore-stamford for full address 'Payment must be made with an OCBC Credit/Debit Card 'Valid for dine-in only 'Discount is applicable to the billed amount, excluding service charge and prevailing GST 'Not valid in conjunction with other discounts, membership privileges, promotions or vouchers ""Merchant's terms and conditions apply. Please contact the merchant directly for full details."", OCBC shall not be responsible for the quality, merchantability or fitness for any aspect of the offer. Notwithstanding anything herein, OCBC shall not at any time be responsible or held liable for any defect or malfunction in any offer, and/or for any loss, injury, damage or harm suffered or incurred by or in connection with the use of any offer by any person ""OCBC's decision on all matters relating to privileges or terms and conditions will be final and binding on all participants",rest_sing_ocbc10.jpg,Western,,,,OCBC Promo,Singapore,Singapore
