Id	LibraryName	UserInputPattern	SystemMessage	PatternAtt	Type	Owner
1	UserGreetingState	Good afternoon		[MotivationState]	UserGreeting.General	User
2	UserGreetingState	Good Anoon		[MotivationState]	UserGreeting.General	User
3	UserGreetingState	Good Day		[MotivationState]	UserGreeting.General	User
4	UserGreetingState	Good Eve		[MotivationState]	UserGreeting.General	User
5	UserGreetingState	Good evening		[MotivationState]	UserGreeting.General	User
6	UserGreetingState	Good Morn		[MotivationState]	UserGreeting.General	User
7	UserGreetingState	Good morning		[MotivationState]	UserGreeting.General	User
8	UserGreetingState	Greetings		[MotivationState]	UserGreeting.General	User
9	UserGreetingState	Hallo		[MotivationState]	UserGreeting.General	User
10	UserGreetingState	Hello		[MotivationState]	UserGreeting.General	User
11	UserGreetingState	Hey		[MotivationState]	UserGreeting.General	User
12	UserGreetingState	Hi		[MotivationState]	UserGreeting.General	User
13	UserGreetingState	Hi!		[MotivationState]	UserGreeting.General	User
14	UserGreetingState	Hiya		[MotivationState]	UserGreeting.General	User
15	UserGreetingState	Howdy		[MotivationState]	UserGreeting.General	User
16	UserGreetingState	Yo!		[MotivationState]	UserGreeting.General	User
17	UserGreetingState	Nice to see you		[MotivationState]	UserGreeting.General	User
18	ConsumerQueryState	#Cuisine			ConsumerQuery.ClassMember	User
19	ConsumerQueryState	#Cuisine #RestaurantEntity			ConsumerQuery.ClassMember	User
20	ConsumerQueryState	#RestaurantEntity			ConsumerQuery.ClassMember	User
21	ConsumerQueryState	#RestaurantEntity #RestaurantEntity			ConsumerQuery.ClassMember	User
22	ConsumerQueryState	#RestaurantEntity #RestaurantEntity #RestaurantEntity			ConsumerQuery.ClassMember	User
23	ConsumerQueryState	#RestaurantEntity #RestaurantEntity place			ConsumerQuery.ClassMember	User
24	ConsumerQueryState	#RestaurantEntity #RestaurantEntity restaurant			ConsumerQuery.ClassMember	User
25	ConsumerQueryState	#RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
26	ConsumerQueryState	#RestaurantEntity $ActionWord #Cuisine during #RestaurantEntity			ConsumerQuery.ClassMember	User
27	ConsumerQueryState	#RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
28	ConsumerQueryState	#RestaurantEntity $ActionWord #RestaurantEntity during #RestaurantEntity			ConsumerQuery.ClassMember	User
29	ConsumerQueryState	#RestaurantEntity for #RestaurantEntity			ConsumerQuery.ClassMember	User
30	ConsumerQueryState	#RestaurantEntity instead			ConsumerQuery.ClassMember	User
31	ConsumerQueryState	#RestaurantEntity place			ConsumerQuery.ClassMember	User
32	ConsumerQueryState	#RestaurantEntity restaurant			ConsumerQuery.ClassMember	User
33	ConsumerQueryState	#RestaurantEntity that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
34	ConsumerQueryState	#RestaurantEntity that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
35	ConsumerQueryState	#RestaurantEntity that $ActionWord #RestaurantEntity #RestaurantEntity			ConsumerQuery.ClassMember	User
36	ConsumerQueryState	#RestaurantEntity that is good for #RestaurantEntity			ConsumerQuery.ClassMember	User
37	ConsumerQueryState	#RestaurantEntity which $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
38	ConsumerQueryState	#RestaurantEntity which $ActionWord the #RestaurantEntity			ConsumerQuery.ClassMember	User
39	ConsumerQueryState	#RestaurantEntity with #RestaurantEntity			ConsumerQuery.ClassMember	User
40	ConsumerQueryState	#RestaurantEntity with $Accompany			ConsumerQuery.ClassMember	User
41	ConsumerQueryState	#RestaurantEntity you can recommend that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
42	ConsumerQueryState	#RestaurantEntity you can recommend that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
43	ConsumerQueryState	#RestaurantEntity you can suggest that $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
44	ConsumerQueryState	#RestaurantEntity you can suggest that $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
45	ConsumerQueryState	$ActionWord #Cuisine			ConsumerQuery.ClassMember	User
46	ConsumerQueryState	$ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
47	ConsumerQueryState	$ActionWord #RestaurantEntity #RestaurantEntity			ConsumerQuery.ClassMember	User
48	ConsumerQueryState	$ActionWord #RestaurantEntity #RestaurantEntity #RestaurantEntity			ConsumerQuery.ClassMember	User
49	ConsumerQueryState	$ActionWord #RestaurantEntity #RestaurantEntity place			ConsumerQuery.ClassMember	User
50	ConsumerQueryState	$ActionWord #RestaurantEntity #RestaurantEntity restaurant			ConsumerQuery.ClassMember	User
51	ConsumerQueryState	$ActionWord #RestaurantEntity $ActionWord #Cuisine			ConsumerQuery.ClassMember	User
52	ConsumerQueryState	$ActionWord #RestaurantEntity $ActionWord #RestaurantEntity			ConsumerQuery.ClassMember	User
53	ConsumerQueryState	$ActionWord #RestaurantEntity $ActionWord options for #RestaurantEntity			ConsumerQuery.ClassMember	User
54	ConsumerQueryState	$ActionWord #RestaurantEntity $ActionWord options other than #Cuisine			ConsumerQuery.ClassMember	User
55	ConsumerQueryState	$ActionWord #RestaurantEntity $ActionWord options other than #RestaurantEntity			ConsumerQuery.ClassMember	User
56	ConsumerQueryState	$ActionWord #RestaurantEntity $ActionWord special menu for #RestaurantEntity guests			ConsumerQuery.ClassMember	User
